"season","pupID","animalID","Wt","weighingdate","weandate"
1995,13902,11337,122,1995-02-25,1995-02-23
1995,13979,10918,113,1995-02-19,1995-02-17
1995,13991,10847,132,1995-02-22,1995-02-18
1995,13993,17931,111,1995-03-01,1995-02-17
1995,14010,8184,111,1995-02-19,1995-02-16
1995,14029,10971,123,1995-02-23,1995-02-20
1995,14075,11393,116,1995-03-01,1995-02-20
1995,14090,11084,97,1995-02-28,1995-02-21
1995,14139,8308,118,1995-02-28,1995-02-19
1995,14142,9311,138,1995-02-25,1995-02-22
1995,14151,18080,125,1995-02-25,1995-02-23
1995,14194,7679,104,1995-02-26,1995-02-22
1995,14225,8749,124,1995-02-28,1995-02-25
1995,14245,10293,97,1995-02-28,1995-02-24
1995,14251,11070,143,1995-02-27,1995-02-24
1996,14438,10551,151,1996-02-11,1996-02-08
1996,14440,7259,126,1996-02-23,1996-02-17
1996,14441,11216,102.273,1996-02-11,1996-02-10
1996,14451,52,108,1996-03-04,1996-02-14
1996,14452,20258,98,1996-02-24,1996-02-14
1996,14466,10503,104,1996-02-24,1996-02-08
1996,14477,10564,123,1996-02-26,1996-02-04
1996,14518,10699,112,1996-03-04,1996-02-03
1996,14524,136,80,1996-03-04,1996-02-02
1996,14531,10687,116,1996-03-03,1996-02-08
1996,14547,10616,130,1996-02-29,1996-02-10
1996,14551,10918,107,1996-03-02,1996-02-16
1996,14563,12091,91,1996-03-04,1996-02-09
1996,14566,9999,108,1996-02-23,1996-02-11
1996,14577,9151,65,1996-03-02,1996-02-12
1996,14603,11805,87,1996-02-27,1996-01-26
1996,14605,8680,130.909,1996-03-05,1996-02-01
1996,14607,8070,132,1996-03-03,1996-02-02
1996,14623,11619,116,1996-03-02,1996-02-09
1996,14641,8934,108.182,1996-03-13,1996-02-14
1996,14647,8123,130,1996-03-06,1996-02-12
1996,14659,9275,120,1996-03-02,1996-02-15
1996,14675,11621,102,1996-03-03,1996-02-14
1996,14711,11424,119,1996-03-04,1996-02-17
1996,14734,9615,143,1996-03-02,1996-02-19
1996,14740,11084,103,1996-02-23,1996-02-18
1996,14752,20294,139,1996-02-29,1996-02-16
1996,14764,10839,119,1996-03-09,1996-02-19
1996,14765,17931,133,1996-03-01,1996-02-19
1996,14769,12105,86,1996-03-01,1996-02-19
1996,14773,10704,122,1996-03-01,1996-02-22
1996,14798,11393,125,1996-02-26,1996-02-21
1996,14819,10656,113,1996-03-03,1996-02-17
1996,14985,8308,139.091,1996-02-24,1996-02-23
1996,15013,8749,129,1996-03-07,1996-02-24
1996,15015,10688,139,1996-03-06,1996-03-03
1996,15024,11405,109,1996-03-04,1996-02-28
1996,15027,10677,122,1996-03-02,1996-02-26
1996,15028,6607,141,1996-03-02,1996-03-02
1996,15033,9311,132,1996-02-24,1996-02-23
1996,15072,20277,109,1996-03-02,1996-02-29
1997,15187,11621,130,1997-02-20,1997-02-14
1997,15188,20258,135,1997-02-14,1997-02-10
1997,15322,10656,133,1997-03-03,1997-02-15
1997,15437,17931,129,1997-03-01,1997-02-24
1998,15857,8308,105,1998-03-07,1998-02-27
1998,15928,12935,107,1998-03-10,1998-02-23
1999,16144,19604,138.2,1999-02-16,1999-02-13
2001,1094,10688,155.4,2001-03-08,2001-03-06
2001,1110,20274,108,2001-03-10,2001-03-02
2001,14852,13709,105.2,2001-03-08,2001-02-27
2001,14854,11802,142.6,2001-03-08,2001-03-02
2001,14871,7259,123.2,2001-03-08,2001-03-01
2001,14873,14829,96.6,2001-03-03,2001-02-20
2001,16775,10844,152,2001-03-14,2004-12-07
2001,16778,20186,97.2,2001-03-14,2001-01-26
2001,16942,13808,94.8,2001-03-10,2001-02-09
2001,16954,13970,100,2001-03-10,2001-02-04
2001,16967,13891,102.8,2001-03-03,2001-02-12
2001,16992,15035,110,2001-03-07,2001-02-13
2001,16998,11023,115.4,2001-03-14,2001-02-20
2001,17011,10953,120.4,2001-03-08,2001-02-12
2001,17017,13641,123,2001-03-03,2001-02-13
2001,17019,10656,107.6,2001-03-08,2001-02-14
2001,17020,14213,125,2001-03-08,2001-02-13
2001,17021,11216,99,2001-03-03,2001-02-15
2001,17022,14759,134.8,2001-03-03,2001-02-17
2001,17029,12075,118,2001-03-10,2001-02-19
2001,17043,13621,127,2001-03-10,2001-02-26
2001,17044,12091,124.6,2001-03-10,2001-02-24
2001,17047,11100,133.4,2001-03-07,2001-02-27
2001,17048,10295,137.2,2001-03-08,2001-02-25
2001,17052,10677,118.2,2001-03-07,2001-02-27
2002,1219,19697,82,2002-03-03,2002-01-28
2002,1238,13808,109,2002-03-05,2002-02-06
2002,1248,15850,93,2002-03-03,2002-02-01
2002,1252,15727,95,2002-03-03,2002-02-02
2002,1273,14460,126,2002-02-13,2002-02-06
2002,1293,15911,76,2002-02-13,2002-02-08
2002,1299,13987,136,2002-02-13,2002-02-12
2002,1328,12753,111,2002-02-13,2002-02-11
2002,1339,15035,116,2002-03-09,2002-02-15
2002,1341,16089,70,2002-03-12,2002-02-08
2002,1353,15452,129,2002-03-05,2002-02-18
2002,1354,11364,135,2002-03-05,2002-02-15
2002,1358,17931,124,2002-03-03,2002-02-18
2002,1366,11809,140,2002-03-09,2002-02-21
2002,1368,20274,121,2002-03-09,2002-02-25
2002,1370,14629,99,2002-03-03,2002-02-25
2002,1375,11023,133,2002-03-09,2002-02-23
2002,1377,13621,131,2002-03-09,2002-02-21
2002,1392,11802,130,2002-03-05,2002-02-26
2002,1401,12091,124,2002-03-19,2002-02-21
2002,1409,15873,99,2002-03-12,2002-03-01
2002,1414,10677,93,2002-03-09,2002-02-27
2002,1443,7259,129,2002-03-09,2002-03-03
2002,1452,7838,124,2002-03-12,2002-03-03
2002,14895,15814,100,2002-03-05,2002-02-13
2002,16343,13641,146,2002-02-21,2002-02-18
2002,16344,14906,120,2002-02-23,2002-02-19
2002,16346,14213,130,2002-03-03,2002-02-20
2002,16348,14829,122,2002-02-21,2002-02-19
2002,16349,9615,170,2002-02-21,2002-02-19
2002,16352,14123,115,2002-03-09,2002-02-17
2003,1536,19697,96.6,2003-03-13,2003-02-05
2003,1703,14629,131.6,2003-03-08,2003-03-01
2003,1709,16190,123,2003-02-12,2003-02-11
2003,1768,19605,86.2,2003-03-05,2003-02-08
2003,1782,15814,116.2,2003-03-13,2003-02-14
2003,1799,13808,111.6,2003-03-04,2003-02-10
2003,1814,11048,128.2,2003-03-07,2003-02-15
2003,1818,14123,121.8,2003-03-04,2003-02-14
2003,1820,11023,138.4,2003-03-07,2003-02-19
2003,1826,11809,126,2003-03-05,2003-02-19
2003,1846,15035,116.2,2003-03-07,2003-02-17
2003,1862,16218,76.4,2003-03-04,2003-02-17
2003,1894,15793,101.8,2003-03-05,2003-02-22
2003,2042,136,127,2003-03-06,2003-02-18
2003,2131,7838,90.6,2003-03-13,2003-02-28
2003,2133,14685,148,2003-03-05,2003-03-01
2003,2164,15873,111.4,2003-03-07,2003-03-01
2003,2217,10971,136.6,2003-03-05,2003-03-03
2004,2251,15850,92,2004-03-11,2004-01-27
2004,2303,15007,111.4,2004-03-14,2004-01-27
2004,2315,14847,133.6,2004-03-11,2004-02-08
2004,2322,16553,91.4,2004-03-11,2004-02-11
2004,2325,12753,84.8,2004-03-16,2004-02-12
2004,2344,16089,104.2,2004-03-09,2004-02-10
2004,2359,15814,119.6,2004-03-14,2004-02-10
2004,2368,15706,103,2004-03-09,2004-02-16
2004,2374,9176,135.6,2004-03-11,2004-02-18
2004,2375,16545,75.8,2004-03-16,2004-02-18
2004,2376,15891,131,2004-03-09,2004-02-18
2004,2393,16608,49.6,2004-03-11,2004-02-20
2004,2441,16758,91.4,2004-03-09,2004-02-06
2004,2443,16295,106.2,2004-03-11,2004-02-13
2004,2445,11424,134.4,2004-02-29,2004-02-27
2004,2496,14123,120,2004-03-02,2004-02-15
2004,2505,13709,102,2004-03-04,2004-02-20
2004,2508,16258,97.6,2004-03-09,2004-02-15
2004,2522,11802,148.6,2004-03-02,2004-02-23
2004,2529,16608,80,2004-03-02,2004-02-22
2004,2541,14629,116.6,2004-03-11,2004-02-22
2004,2544,15316,102.6,2004-03-04,2004-02-27
2004,2548,19956,116.8,2004-03-04,2004-02-19
2004,2563,11987,142.2,2004-03-02,2004-02-28
2004,2581,19612,112.8,2004-03-09,2004-02-29
2004,2612,14685,132.6,2004-03-14,2004-03-01
2005,2820,17975,109,2005-03-05,2005-01-23
2005,2866,13976,138.5,2005-02-11,2005-02-10
2005,2916,19983,78,2005-03-11,2005-01-28
2005,2967,16608,107,2005-03-05,2005-03-04
2005,3096,11987,158,2005-03-10,NA
2005,3173,151,142,2005-03-13,NA
2005,3299,7838,128,2005-03-26,NA
2005,17053,13134,103,2005-03-10,2005-02-03
2005,17061,17045,79,2005-03-10,2005-02-04
2005,17066,15787,70,2005-03-05,2005-02-09
2005,17068,15787,67,2005-03-13,2005-02-09
2005,17070,15035,122,2005-03-11,2005-02-12
2005,17072,16563,99,2005-03-05,2005-02-12
2005,17073,16774,102,2005-03-05,2005-02-12
2005,17077,13938,123,2005-02-21,2005-02-09
2005,17080,15814,119,2005-03-05,2005-02-15
2005,17087,1145,152,2005-03-13,NA
2005,17090,16553,125,2005-02-21,2005-02-17
2005,17091,15727,114,2005-03-13,2005-02-15
2005,17093,14123,119,2005-02-24,2005-02-19
2005,17094,19971,97,2005-03-10,2005-02-15
2005,17096,16547,104,2005-02-24,2005-02-21
2005,17100,11048,121,2005-03-08,2005-02-19
2005,17108,19956,115,2005-03-10,2005-02-24
2005,17118,11802,134,2005-03-10,2005-02-24
2005,17128,15793,107,2005-03-05,2005-03-03
2005,17131,16218,93,2005-03-13,2005-02-27
2005,17132,19612,138,2005-03-05,2005-02-27
2005,17134,13709,100,2005-03-05,2005-02-27
2005,17135,11023,107,2005-03-08,2005-02-27
2005,17139,9623,86,2005-03-08,2005-02-17
2005,17146,12091,128,2005-03-13,2005-02-17
2005,17313,16434,87.5,2005-02-14,2005-02-13
2005,17314,15911,119.5,2005-02-14,2005-02-11
2005,17346,16258,97,2005-03-06,2005-02-21
2005,17416,16157,163.5,2005-02-17,2005-02-16
2005,17420,14213,142,2005-02-17,2005-02-19
2005,17499,15316,120,2005-02-24,2005-02-23
2005,17535,15706,116,2005-02-25,2005-02-22
2006,3125,16295,129.2,2006-03-18,2006-02-20
2006,3389,15787,116,2006-02-15,2006-02-11
2006,3420,13938,136,2006-02-15,2006-02-10
2006,3469,16547,112.8,2006-03-13,2006-02-25
2006,3471,14829,118.4,2006-03-04,2006-02-25
2006,17320,10918,102.6,2006-03-18,2006-01-20
2006,17588,17045,99,2006-03-01,2006-02-01
2006,17591,16157,137,2006-03-08,NA
2006,17592,14123,104.2,2006-03-08,2006-02-18
2006,17594,1561,113.8,2006-03-08,2006-02-27
2006,3391,13976,136,2006-02-15,2006-02-11
2006,17604,15814,123.4,2006-03-15,2006-02-12
2006,17768,19899,78,2006-03-08,2006-02-07
2006,17772,15911,92,2006-03-13,2006-02-16
2006,17773,16339,95.2,2006-03-18,2006-01-30
2006,17776,15035,117.8,2006-03-08,2006-02-12
2006,17786,19988,78.4,2006-03-18,2006-02-17
2006,17791,12935,142.4,2006-03-08,2006-02-20
2006,17803,1403,97,2006-03-08,2006-02-22
2006,17811,19612,139.6,2006-03-04,2006-02-25
2006,17816,1364,119,2006-03-04,2006-02-24
2006,17817,16218,105.8,2006-03-15,2006-02-26
2006,17820,19956,111,2006-03-15,2006-02-24
2006,17828,13709,80,2006-03-13,2006-02-27
2006,17831,10971,117.8,2006-03-04,2006-03-02
2006,17833,11987,134.6,2006-03-13,2006-03-02
2007,20423,16218,106,2007-03-09,2007-02-15
2007,20419,19983,105,2007-03-09,2007-02-05
2007,20430,16774,115,2007-03-09,2007-01-27
2007,20417,17996,99,2007-03-01,2007-02-06
2007,20432,13987,120,2007-03-04,2007-02-06
2007,20435,14092,118,2007-02-28,2007-02-16
2007,20403,15787,118,2007-02-12,2007-02-07
2007,20404,14883,100,2007-02-28,2007-02-14
2007,20402,10918,129,2007-03-08,NA
2007,20453,12091,138,2007-03-13,2007-02-21
2007,20449,16295,106,2007-03-09,2007-02-22
2007,20455,15706,93,2007-03-09,2007-02-18
2007,20458,12935,144,2007-03-01,2007-02-22
2007,20468,14213,120,2007-03-03,2007-02-22
2007,20482,1403,102,2007-03-01,2007-02-21
2007,20433,15701,117,2007-02-28,2007-02-13
2007,20444,15035,141,2007-02-28,2007-02-27
2007,20437,1479,146,2007-02-28,NA
2007,20441,14759,134,2007-03-03,2007-02-22
2007,20439,16563,100,2007-02-28,2007-02-22
2007,20443,16359,144,2007-03-01,NA
2007,20446,16339,113,2007-03-06,2007-02-17
2007,20448,19988,120,2007-03-06,2007-02-19
2007,22355,13709,106,2007-03-06,2007-03-04
2007,22371,15793,116,2007-03-06,2007-02-22
2007,22373,11619,133,2007-03-08,2007-02-27
2008,32814,13938,124,2008-03-05,2008-02-16
2008,32820,16728,118,2008-03-05,2008-02-21
2008,33753,15701,143,2008-03-03,NA
2008,33754,1464,139,2008-03-03,NA
2008,32827,16295,138,2008-03-05,2008-02-23
2008,32831,16322,119,2008-03-05,2008-02-16
2008,33743,15706,158,2008-03-03,NA
2008,33744,14881,149,2008-03-12,NA
2008,32840,14883,106,2008-03-10,2008-02-28
2008,32851,19612,142,2008-03-05,2008-03-03
2008,32839,1364,122,2008-03-12,2008-03-11
2008,23192,2156,69,2008-03-07,2008-02-13
2008,23235,15814,111,2008-03-12,2008-02-07
2009,36439,17094,149,2009-03-11,NA
2009,33984,3218,79,2009-03-13,2009-02-11
2009,34456,17258,51,2009-03-16,2009-02-11
2009,33989,2152,84,2009-03-09,2009-02-16
2009,33990,19605,89,2009-03-09,2009-02-22
2009,33992,17087,91,2009-03-16,2009-02-16
2009,36445,1464,147,2009-03-13,NA
2009,36458,1364,136,2009-03-13,NA
2009,33892,16157,124,2009-02-28,NA
2009,33903,16792,135,2009-03-01,NA
2009,33900,16236,138,2009-03-07,NA
2009,33883,19899,153,2009-03-01,NA
2009,33775,16553,154,2009-03-18,NA
2009,33889,17397,144,2009-03-16,NA
2009,33861,15701,145,2009-03-09,NA
2009,34058,16547,120,2009-03-18,2009-02-20
2009,34054,16945,100,2009-03-18,2009-02-17
2009,34055,19993,101,2009-03-07,2009-02-21
2009,33974,14883,123,2009-03-09,2009-02-26
2010,35787,15814,146,2010-03-15,NA
2010,35743,1636,136,2010-02-02,2010-01-18
2010,36701,1364,151,2010-03-05,NA
2010,36357,2456,115,2010-03-06,2010-02-06
2010,36359,17398,92,2010-03-15,2010-02-04
2010,36687,17087,147,2010-03-11,NA
2010,36303,1561,138,2010-02-28,NA
2010,36013,2024,110,2010-03-10,2010-01-26
2010,36087,16339,125,2010-03-04,2010-02-22
2010,36088,16545,72,2010-02-27,2010-02-04
2010,36141,2156,86,2010-03-04,2010-02-07
2010,35876,15805,101,2010-03-08,2010-02-06
2010,35964,16608,113,2010-03-07,2010-02-12
2010,35877,16758,126,2010-02-27,2010-02-09
2010,35980,17159,106,2010-03-04,2010-02-14
2010,36077,16464,140,2010-03-10,2010-02-23
2010,36221,19993,145,2010-03-27,NA
2010,36301,16971,154,2010-03-07,NA
2010,36837,14460,144,2010-03-06,NA
2010,36703,14883,156,2010-03-15,NA
2010,35746,19899,117,2010-02-06,2010-01-30
2011,38281,20437,78,2011-03-06,2011-02-22
2011,38031,20642,101,2011-03-17,2011-02-06
2011,38111,16774,115,2011-03-09,2011-02-07
2011,38045,20643,102,2011-03-05,2011-02-10
2011,37652,2152,116,2011-03-09,2011-02-08
2011,37653,16434,124,2011-03-09,2011-02-09
2011,37706,15701,118,2011-03-22,2011-02-12
2011,37655,2341,105,2011-03-08,2011-01-29
2011,37708,16237,114,2011-03-14,2011-02-14
2011,37709,3218,99,2011-03-12,2011-02-13
2011,37710,17996,69,2011-03-17,2011-02-19
2011,37712,15793,126,2011-02-28,2011-02-14
2011,37717,15787,111,2011-03-17,2011-01-31
2011,37791,16792,137,2011-03-03,2011-02-15
2011,37790,15706,93,2011-03-22,2011-02-22
2011,38033,16545,86,2011-03-03,2011-02-04
2011,38135,17786,97,2011-03-09,2011-02-16
2011,38171,17258,114,2011-03-14,2011-02-17
2011,38314,17637,113,2011-03-05,2011-02-23
2011,37651,15814,78,2011-03-21,2011-02-05
2011,37843,16218,109,2011-03-09,2011-02-21
2011,37793,20615,100,2011-03-14,2011-01-27
2011,38315,16339,130,2011-03-21,2011-02-23
2011,38336,14092,92,2011-03-14,2011-02-26
2011,38475,1364,129,2011-03-17,2011-03-10
2011,38011,1636,122,2011-03-14,2011-01-30
2011,38461,1561,118,2011-03-14,2011-03-06
2012,40183,16411,111,2012-03-18,2012-02-07
2012,39823,3778,110,2012-03-10,2012-02-02
2012,39824,17210,111,2012-03-10,2012-02-03
2012,39825,20650,72,2012-03-09,2012-01-11
2012,40379,19993,114,2012-03-09,2012-02-16
2012,40632,17774,129,2012-03-01,2012-02-23
2012,40796,1561,127,2012-03-11,2012-03-04
2012,40049,20437,110,2012-03-04,2012-02-23
2012,40048,3218,48,2012-03-11,2012-02-08
2012,40109,19988,130,2012-03-12,2012-02-21
2012,40047,3674,110,2012-03-18,2012-02-18
2012,40904,20643,145,2012-03-04,NA
2012,40045,17671,86,2012-03-04,2012-02-18
2012,40232,26359,90,2012-03-09,2012-02-08
2012,40122,16545,106,2012-03-08,2012-02-03
2012,40057,34352,130,2012-03-10,2012-02-01
2012,40186,1403,122,2012-03-12,2012-02-23
2012,40197,23178,94,2012-02-28,2012-02-04
2012,40188,17516,131,2012-03-04,2012-02-23
2012,40050,17705,124,2012-03-12,2012-02-03
2012,40467,20758,112,2012-03-11,2012-02-20
2012,40642,17637,125,2012-03-09,2012-02-27
2012,40382,20551,117,2012-03-10,2012-02-19
2012,40649,31049,102,2012-02-24,2012-02-15
2012,40478,26313,130,2012-03-11,2012-02-21
2012,40184,20875,110,2012-03-09,2012-02-13
2012,40279,20914,110,2012-03-05,2012-02-13
2012,40187,17087,140,2012-03-03,2012-02-23
2012,40185,20924,88,2012-03-12,2012-02-05
2012,40286,14759,131,2012-03-10,2012-02-12
2012,40520,16157,156,2012-02-24,2012-02-21
2012,40252,34130,76,2012-02-23,2012-02-09
2012,40287,28475,95,2012-03-18,2012-02-10
2012,40476,17071,120,2012-03-10,2012-02-19
2012,40473,3188,109,2012-03-11,2012-02-19
2012,40025,32828,121,2012-03-08,2012-02-13
2012,40549,16971,145,2012-03-08,NA
2012,40618,1464,112,2012-03-11,2012-02-24
2012,40643,17783,132,2012-03-09,2012-02-27
2012,40656,3743,112,2012-03-05,2012-02-22
2012,40613,17786,105,2012-02-26,2012-02-18
2012,40798,1364,145,2012-03-15,2012-03-04
2013,41783,17398,112,2013-03-29,2013-02-07
2013,41850,32828,121,2013-03-12,2013-02-13
2013,41826,20650,130,2013-02-03,2013-01-21
2013,41848,20873,114,2013-03-06,2013-02-15
2013,41917,16792,125,2013-03-12,2013-02-19
2013,41917,16792,114,2013-03-29,2013-02-19
2013,41763,20615,137,2013-02-04,2013-01-25
2013,41762,19971,120,2013-03-13,2013-01-26
2013,41684,20844,117,2013-02-21,2013-02-01
2013,41761,20419,80,2013-03-15,2013-02-03
2013,41766,17094,105,2013-03-18,2013-02-02
2013,41916,28475,103,2013-03-18,2013-02-14
2013,41765,16545,141,2013-03-14,NA
2013,41589,33753,81,2013-03-15,2013-01-23
2013,41769,17302,107,2013-03-14,2013-01-18
2013,42037,34163,91,2013-03-14,2013-02-03
2013,41940,34352,148,2013-02-02,2013-02-01
2013,42069,1636,161,2013-02-03,2013-01-31
2013,41849,20756,120,2013-02-20,2013-02-13
2013,42307,17705,143,2013-02-07,2013-02-06
2013,42853,20616,117,2013-03-01,2013-02-05
2013,42112,2406,148,2013-02-21,2013-02-07
2013,42194,34398,125,2013-02-24,2013-02-15
2013,42045,3188,111,2013-03-15,2013-02-16
2013,42074,28460,100,2013-03-26,2013-02-05
2013,42432,17774,156,2013-02-24,2013-02-22
2013,42493,34222,100,2013-03-10,2013-02-10
2013,42520,34525,117,2013-02-20,2013-02-14
2013,42423,36985,117,2013-03-06,2013-02-19
2013,42492,33980,100,2013-03-05,2013-02-09
2013,42242,26325,129,2013-03-15,2013-02-11
2013,42507,17671,79,2013-03-12,2013-02-16
2013,41959,15701,113,2013-03-16,2013-02-08
2013,42230,34677,91,2013-03-06,2013-02-08
2013,42082,34138,84,2013-03-16,2013-02-06
2013,42259,15814,138,2013-02-27,2013-02-11
2013,42260,13938,110,2013-02-28,2013-02-10
2013,42199,36440,83,2013-03-13,2013-02-08
2013,42207,20643,139,2013-03-11,2013-02-14
2013,42511,17071,125,2013-03-03,2013-02-16
2013,42340,15706,114,2013-03-15,2013-02-12
2013,42522,17258,126,2013-03-08,2013-02-17
2013,42444,17783,73,2013-03-03,2013-02-16
2013,42531,19988,118,2013-03-26,2013-02-19
2013,42536,36468,90,2013-03-18,2013-02-18
2013,42537,41873,110,2013-03-01,2013-02-20
2013,42538,20914,130,2013-03-14,2013-02-20
2013,42575,31469,135,2013-03-26,2013-02-16
2013,42580,17087,145,2013-02-25,2013-02-18
2013,42572,34120,89,2013-02-27,2013-02-12
2013,42872,16237,106,2013-03-16,2013-02-23
2013,42583,14881,134,2013-02-24,2013-02-16
2013,42607,14759,151,2013-03-07,2013-02-19
2013,42725,3674,129,2013-03-15,2013-02-25
